,id,img_filename,map_filename,target
0,0,Line_0_0.png,Line_0_map_0.png,1
1,0,Line_0_5.png,Line_0_map_5.png,1
2,0,Line_0_10.png,Line_0_map_10.png,1
3,0,Line_0_15.png,Line_0_map_15.png,1
4,0,Line_0_20.png,Line_0_map_20.png,1
5,0,Line_0_25.png,Line_0_map_25.png,1
6,0,Line_0_30.png,Line_0_map_30.png,1
7,0,Line_0_35.png,Line_0_map_35.png,1
8,0,Line_0_40.png,Line_0_map_40.png,1
9,0,Line_0_45.png,Line_0_map_45.png,1
10,0,Line_0_50.png,Line_0_map_50.png,1
11,0,Line_0_55.png,Line_0_map_55.png,1
12,0,Line_0_60.png,Line_0_map_60.png,1
13,0,Line_0_65.png,Line_0_map_65.png,1
14,0,Line_0_70.png,Line_0_map_70.png,1
15,0,Line_0_75.png,Line_0_map_75.png,1
16,0,Line_0_80.png,Line_0_map_80.png,1
17,0,Line_0_85.png,Line_0_map_85.png,1
18,0,Line_0_90.png,Line_0_map_90.png,1
19,0,Line_0_95.png,Line_0_map_95.png,1
0,1,Line_1_0.png,Line_1_map_0.png,1
1,1,Line_1_5.png,Line_1_map_5.png,1
2,1,Line_1_10.png,Line_1_map_10.png,1
3,1,Line_1_15.png,Line_1_map_15.png,1
4,1,Line_1_20.png,Line_1_map_20.png,1
5,1,Line_1_25.png,Line_1_map_25.png,1
6,1,Line_1_30.png,Line_1_map_30.png,1
7,1,Line_1_35.png,Line_1_map_35.png,1
8,1,Line_1_40.png,Line_1_map_40.png,1
9,1,Line_1_45.png,Line_1_map_45.png,1
10,1,Line_1_50.png,Line_1_map_50.png,1
11,1,Line_1_55.png,Line_1_map_55.png,1
12,1,Line_1_60.png,Line_1_map_60.png,1
13,1,Line_1_65.png,Line_1_map_65.png,1
14,1,Line_1_70.png,Line_1_map_70.png,1
15,1,Line_1_75.png,Line_1_map_75.png,1
16,1,Line_1_80.png,Line_1_map_80.png,1
17,1,Line_1_85.png,Line_1_map_85.png,1
18,1,Line_1_90.png,Line_1_map_90.png,1
19,1,Line_1_95.png,Line_1_map_95.png,1
0,2,Line_2_0.png,Line_2_map_0.png,1
1,2,Line_2_5.png,Line_2_map_5.png,1
2,2,Line_2_10.png,Line_2_map_10.png,1
3,2,Line_2_15.png,Line_2_map_15.png,1
4,2,Line_2_20.png,Line_2_map_20.png,1
5,2,Line_2_25.png,Line_2_map_25.png,1
6,2,Line_2_30.png,Line_2_map_30.png,1
7,2,Line_2_35.png,Line_2_map_35.png,1
8,2,Line_2_40.png,Line_2_map_40.png,1
9,2,Line_2_45.png,Line_2_map_45.png,1
10,2,Line_2_50.png,Line_2_map_50.png,1
11,2,Line_2_55.png,Line_2_map_55.png,1
12,2,Line_2_60.png,Line_2_map_60.png,1
13,2,Line_2_65.png,Line_2_map_65.png,1
14,2,Line_2_70.png,Line_2_map_70.png,1
15,2,Line_2_75.png,Line_2_map_75.png,1
16,2,Line_2_80.png,Line_2_map_80.png,1
17,2,Line_2_85.png,Line_2_map_85.png,1
18,2,Line_2_90.png,Line_2_map_90.png,1
19,2,Line_2_95.png,Line_2_map_95.png,1
0,3,Line_3_0.png,Line_3_map_0.png,1
1,3,Line_3_5.png,Line_3_map_5.png,1
2,3,Line_3_10.png,Line_3_map_10.png,1
3,3,Line_3_15.png,Line_3_map_15.png,1
4,3,Line_3_20.png,Line_3_map_20.png,1
5,3,Line_3_25.png,Line_3_map_25.png,1
6,3,Line_3_30.png,Line_3_map_30.png,1
7,3,Line_3_35.png,Line_3_map_35.png,1
8,3,Line_3_40.png,Line_3_map_40.png,1
9,3,Line_3_45.png,Line_3_map_45.png,1
10,3,Line_3_50.png,Line_3_map_50.png,1
11,3,Line_3_55.png,Line_3_map_55.png,1
12,3,Line_3_60.png,Line_3_map_60.png,1
13,3,Line_3_65.png,Line_3_map_65.png,1
14,3,Line_3_70.png,Line_3_map_70.png,1
15,3,Line_3_75.png,Line_3_map_75.png,1
16,3,Line_3_80.png,Line_3_map_80.png,1
17,3,Line_3_85.png,Line_3_map_85.png,1
18,3,Line_3_90.png,Line_3_map_90.png,1
19,3,Line_3_95.png,Line_3_map_95.png,1
0,4,Line_4_0.png,Line_4_map_0.png,1
1,4,Line_4_5.png,Line_4_map_5.png,1
2,4,Line_4_10.png,Line_4_map_10.png,1
3,4,Line_4_15.png,Line_4_map_15.png,1
4,4,Line_4_20.png,Line_4_map_20.png,1
5,4,Line_4_25.png,Line_4_map_25.png,1
6,4,Line_4_30.png,Line_4_map_30.png,1
7,4,Line_4_35.png,Line_4_map_35.png,1
8,4,Line_4_40.png,Line_4_map_40.png,1
9,4,Line_4_45.png,Line_4_map_45.png,1
10,4,Line_4_50.png,Line_4_map_50.png,1
11,4,Line_4_55.png,Line_4_map_55.png,1
12,4,Line_4_60.png,Line_4_map_60.png,1
13,4,Line_4_65.png,Line_4_map_65.png,1
14,4,Line_4_70.png,Line_4_map_70.png,1
15,4,Line_4_75.png,Line_4_map_75.png,1
16,4,Line_4_80.png,Line_4_map_80.png,1
17,4,Line_4_85.png,Line_4_map_85.png,1
18,4,Line_4_90.png,Line_4_map_90.png,1
19,4,Line_4_95.png,Line_4_map_95.png,1
0,5,Line_5_0.png,Line_5_map_0.png,1
1,5,Line_5_5.png,Line_5_map_5.png,1
2,5,Line_5_10.png,Line_5_map_10.png,1
3,5,Line_5_15.png,Line_5_map_15.png,1
4,5,Line_5_20.png,Line_5_map_20.png,1
5,5,Line_5_25.png,Line_5_map_25.png,1
6,5,Line_5_30.png,Line_5_map_30.png,1
7,5,Line_5_35.png,Line_5_map_35.png,1
8,5,Line_5_40.png,Line_5_map_40.png,1
9,5,Line_5_45.png,Line_5_map_45.png,1
10,5,Line_5_50.png,Line_5_map_50.png,1
11,5,Line_5_55.png,Line_5_map_55.png,1
12,5,Line_5_60.png,Line_5_map_60.png,1
13,5,Line_5_65.png,Line_5_map_65.png,1
14,5,Line_5_70.png,Line_5_map_70.png,1
15,5,Line_5_75.png,Line_5_map_75.png,1
16,5,Line_5_80.png,Line_5_map_80.png,1
17,5,Line_5_85.png,Line_5_map_85.png,1
18,5,Line_5_90.png,Line_5_map_90.png,1
19,5,Line_5_95.png,Line_5_map_95.png,1
0,6,Line_6_0.png,Line_6_map_0.png,1
1,6,Line_6_5.png,Line_6_map_5.png,1
2,6,Line_6_10.png,Line_6_map_10.png,1
3,6,Line_6_15.png,Line_6_map_15.png,1
4,6,Line_6_20.png,Line_6_map_20.png,1
5,6,Line_6_25.png,Line_6_map_25.png,1
6,6,Line_6_30.png,Line_6_map_30.png,1
7,6,Line_6_35.png,Line_6_map_35.png,1
8,6,Line_6_40.png,Line_6_map_40.png,1
9,6,Line_6_45.png,Line_6_map_45.png,1
10,6,Line_6_50.png,Line_6_map_50.png,1
11,6,Line_6_55.png,Line_6_map_55.png,1
12,6,Line_6_60.png,Line_6_map_60.png,1
13,6,Line_6_65.png,Line_6_map_65.png,1
14,6,Line_6_70.png,Line_6_map_70.png,1
15,6,Line_6_75.png,Line_6_map_75.png,1
16,6,Line_6_80.png,Line_6_map_80.png,1
17,6,Line_6_85.png,Line_6_map_85.png,1
18,6,Line_6_90.png,Line_6_map_90.png,1
19,6,Line_6_95.png,Line_6_map_95.png,1
0,7,Line_7_0.png,Line_7_map_0.png,1
1,7,Line_7_5.png,Line_7_map_5.png,1
2,7,Line_7_10.png,Line_7_map_10.png,1
3,7,Line_7_15.png,Line_7_map_15.png,1
4,7,Line_7_20.png,Line_7_map_20.png,1
5,7,Line_7_25.png,Line_7_map_25.png,1
6,7,Line_7_30.png,Line_7_map_30.png,1
7,7,Line_7_35.png,Line_7_map_35.png,1
8,7,Line_7_40.png,Line_7_map_40.png,1
9,7,Line_7_45.png,Line_7_map_45.png,1
10,7,Line_7_50.png,Line_7_map_50.png,1
11,7,Line_7_55.png,Line_7_map_55.png,1
12,7,Line_7_60.png,Line_7_map_60.png,1
